Date,Revenue,MA_7,MA_30,Month_Name,Month_Number,Weekday,Weekend,Year,Month,Quarter,Week,Day,DayOfWeek,Lag_1,Lag_2,Lag_3,Lag_7,Lag_14,Lag_30,RollingMean7,RollingMean14,RollingMean30,RollingStd7,RollingStd30
2018-02-11,34191.28,42130.73285714286,44104.397666666664,February,2,Sunday,1,2018,2,1,6,11,6,30288.85,40080.08,39253.39,33213.44,31534.14,52789.91,42130.73285714286,44181.724285714285,44104.397666666664,8870.894611329917,10115.400255171515
2018-02-12,38653.020000000004,39951.88428571429,44173.68733333333,February,2,Monday,0,2018,2,1,7,12,0,34191.28,30288.85,40080.08,53904.96,48252.73,36574.33,39951.88428571429,43496.03071428571,44173.68733333333,7215.573683089468,10069.054530505053
2018-02-13,36695.77,37661.50285714286,44022.846999999994,February,2,Tuesday,0,2018,2,1,7,13,1,38653.020000000004,34191.28,30288.85,52728.44,59152.82,41220.98,37661.50285714286,41891.955714285716,44022.846999999994,4528.207816188242,10148.395656921528
2018-02-14,58514.85,39668.177142857145,44057.703,February,2,Wednesday,0,2018,2,1,7,14,2,36695.77,38653.020000000004,34191.28,44468.13,44263.69,57469.17,39668.177142857145,42909.89571428571,44057.703,8975.64035167344,10197.846625945425
2018-02-15,45208.18,40518.861428571436,43247.378333333334,February,2,Thursday,0,2018,2,1,7,15,3,58514.85,36695.77,38653.020000000004,39253.39,61649.19,69517.92,40518.861428571436,41735.53785714286,43247.378333333334,9208.932758840503,9000.552404620115
2018-02-16,43526.83,41011.25428571428,43178.549333333336,February,2,Friday,0,2018,2,1,7,16,4,45208.18,58514.85,36695.77,40080.08,45996.45,45591.7,41011.25428571428,41559.13642857143,43178.549333333336,9273.482320083078,8989.895650272847
2018-02-17,34833.1,41660.43285714286,42983.509666666665,February,2,Saturday,1,2018,2,1,7,17,5,43526.83,45208.18,58514.85,30288.85,31100.69,40684.29,41660.43285714286,41825.73714285714,42983.509666666665,8526.766220104904,9108.564501548386
2018-02-18,36890.81,42046.08,42848.791333333334,February,2,Sunday,1,2018,2,1,7,18,6,34833.1,43526.83,45208.18,34191.28,33213.44,40932.36,42046.08,42088.406428571434,42848.791333333334,8186.924990479126,9169.630862498765
2018-02-19,44115.78,42826.474285714285,43233.48333333333,February,2,Monday,0,2018,2,1,8,19,0,36890.81,34833.1,43526.83,38653.020000000004,53904.96,32575.02,42826.474285714285,41389.17928571429,43233.48333333333,8069.098876129869,8963.52189731578
2018-02-20,47270.09,44337.09142857143,43722.24366666667,February,2,Tuesday,0,2018,2,1,8,20,1,44115.78,36890.81,34833.1,36695.77,52728.44,32607.28,44337.09142857143,40999.29714285715,43722.24366666667,7711.988249341381,8761.609865266566
